libro_id,titulo,sesiones_mes_3,sesiones_mes_2,sesiones_mes_1,usuarios_unicos_3m,promedio_tiempo_segundos_3m,porcentaje_promedio_avance_3m,prestamos_mes_3,prestamos_mes_2,prestamos_mes_1,tendencia_sesiones,tendencia_prestamos
83,Nutrición Clínica y Dietoterapia: casos clínicos y planes de cuidado,4,4,1,7,8477.33,51.41,44,39,42,-0.3333,-0.0160
84,Valoración integral en Nutrición Clínica y Dietoterapia,0,0,0,0,0.00,0.00,47,60,37,0.0000,-0.0694
85,Procedimientos esenciales de Nutrición Clínica y Dietoterapia,3,2,1,5,2989.67,31.42,37,35,46,-0.3333,0.0763
86,Guía práctica de Nutrición Clínica y Dietoterapia,2,0,5,6,6044.71,57.14,46,42,50,0.4286,0.0290
87,Nutrición Clínica y Dietoterapia basada en evidencia,3,3,3,9,5628.22,62.14,27,24,36,0.0000,0.1034
88,Razonamiento clínico aplicado a Nutrición Clínica y Dietoterapia,0,0,0,0,0.00,0.00,32,39,29,0.0000,-0.0300
89,Protocolos de atención en Nutrición Clínica y Dietoterapia,1,4,3,7,6601.63,54.04,28,38,37,0.2500,0.0874
90,Seguridad del paciente en Nutrición Clínica y Dietoterapia,2,2,3,6,9316.71,61.56,51,46,38,0.1429,-0.0963
91,Intervenciones de enfermería en Nutrición Clínica y Dietoterapia,4,3,2,6,10014.67,53.31,43,48,48,-0.2222,0.0360
92,Evaluación y seguimiento en Nutrición Clínica y Dietoterapia,0,0,0,0,0.00,0.00,30,41,41,0.0000,0.0982
93,Fundamentos de Enfermería Médico-Quirúrgica,5,6,2,10,4340.54,46.36,43,53,41,-0.2308,-0.0146
94,Enfermería Médico-Quirúrgica: manual para estudiantes de enfermería,2,5,3,9,4352.80,47.12,47,39,40,0.1000,-0.0556
95,Enfermería Médico-Quirúrgica: casos clínicos y planes de cuidado,3,4,4,8,6567.36,64.15,45,38,43,0.0909,-0.0159
96,Valoración integral en Enfermería Médico-Quirúrgica,0,0,0,0,0.00,0.00,41,59,42,0.0000,0.0070
97,Procedimientos esenciales de Enfermería Médico-Quirúrgica,2,8,5,10,7926.93,54.38,51,52,44,0.2000,-0.0476
98,Guía práctica de Enfermería Médico-Quirúrgica,3,4,4,10,7810.91,39.86,52,51,43,0.0909,-0.0616
99,Enfermería Médico-Quirúrgica basada en evidencia,1,3,3,6,3185.43,63.30,30,40,48,0.2857,0.1525
100,Razonamiento clínico aplicado a Enfermería Médico-Quirúrgica,0,0,0,0,0.00,0.00,33,44,42,0.0000,0.0756
101,Protocolos de atención en Enfermería Médico-Quirúrgica,4,6,2,9,3810.25,49.80,37,50,41,-0.1667,0.0313
102,Seguridad del paciente en Enfermería Médico-Quirúrgica,3,5,3,7,4008.64,34.63,35,42,43,0.0000,0.0667
103,Intervenciones de enfermería en Enfermería Médico-Quirúrgica,4,3,2,8,5978.78,53.68,53,62,56,-0.2222,0.0175
104,Evaluación y seguimiento en Enfermería Médico-Quirúrgica,0,0,0,0,0.00,0.00,36,43,39,0.0000,0.0254
105,Fundamentos de Enfermería Materna y Obstétrica,2,1,3,6,5009.67,33.85,37,64,53,0.1667,0.1039
106,Enfermería Materna y Obstétrica: manual para estudiantes de enfermería,2,1,1,4,8508.50,49.10,28,42,39,-0.2500,0.1009
107,Enfermería Materna y Obstétrica: casos clínicos y planes de cuidado,1,1,1,3,4952.33,78.16,46,46,30,0.0000,-0.1311
108,Valoración integral en Enfermería Materna y Obstétrica,0,0,0,0,0.00,0.00,36,61,45,0.0000,0.0634
109,Procedimientos esenciales de Enfermería Materna y Obstétrica,2,3,2,7,4710.00,54.79,43,52,41,0.0000,-0.0147
110,Guía práctica de Enfermería Materna y Obstétrica,2,2,5,8,5268.44,50.39,40,51,40,0.3333,0.0000
111,Enfermería Materna y Obstétrica basada en evidencia,0,1,1,2,2135.50,14.85,47,51,44,0.5000,-0.0211
112,Razonamiento clínico aplicado a Enfermería Materna y Obstétrica,0,0,0,0,0.00,0.00,31,29,37,0.0000,0.0619
113,Protocolos de atención en Enfermería Materna y Obstétrica,2,1,2,5,9382.20,55.48,60,59,50,0.0000,-0.0592
114,Seguridad del paciente en Enfermería Materna y Obstétrica,4,2,2,8,3072.25,48.58,36,46,44,-0.2500,0.0635
115,Intervenciones de enfermería en Enfermería Materna y Obstétrica,1,1,3,5,2311.00,46.25,37,52,44,0.4000,0.0526
116,Evaluación y seguimiento en Enfermería Materna y Obstétrica,0,0,0,0,0.00,0.00,42,55,40,0.0000,-0.0146
117,Fundamentos de Salud Pública y Enfermería Comunitaria,3,5,2,9,4367.90,41.84,47,39,43,-0.1000,-0.0310
118,Salud Pública y Enfermería Comunitaria: manual para estudiantes de enfermería,3,0,0,3,6526.33,62.85,45,57,37,-1.0000,-0.0576
119,Salud Pública y Enfermería Comunitaria: casos clínicos y planes de cuidado,1,1,2,4,10169.00,81.90,44,41,26,0.2500,-0.1622
120,Valoración integral en Salud Pública y Enfermería Comunitaria,0,0,0,0,0.00,0.00,38,47,41,0.0000,0.0238
121,Procedimientos esenciales de Salud Pública y Enfermería Comunitaria,2,4,2,8,9003.75,44.73,34,33,36,0.0000,0.0194
122,Guía práctica de Salud Pública y Enfermería Comunitaria,1,3,1,5,3513.00,50.43,47,74,54,0.0000,0.0400
123,Salud Pública y Enfermería Comunitaria basada en evidencia,1,4,2,7,4014.29,49.96,46,58,52,0.1429,0.0385
124,Razonamiento clínico aplicado a Salud Pública y Enfermería Comunitaria,0,0,0,0,0.00,0.00,49,65,52,0.0000,0.0181
125,Protocolos de atención en Salud Pública y Enfermería Comunitaria,1,3,2,6,6437.00,48.80,33,58,57,0.1667,0.1622
126,Seguridad del paciente en Salud Pública y Enfermería Comunitaria,1,3,3,7,6306.43,54.70,38,43,48,0.2857,0.0775
127,Intervenciones de enfermería en Salud Pública y Enfermería Comunitaria,2,1,0,3,7844.33,61.20,34,49,48,-0.6667,0.1069
128,Evaluación y seguimiento en Salud Pública y Enfermería Comunitaria,0,0,0,0,0.00,0.00,36,43,37,0.0000,0.0086
129,Fundamentos de Enfermería Geriátrica y Gerontológica,1,3,4,8,7162.50,52.87,34,46,43,0.3750,0.0732
130,Enfermería Geriátrica y Gerontológica: manual para estudiantes de enfermería,2,3,1,5,3526.00,64.27,45,31,41,-0.1667,-0.0342
131,Enfermería Geriátrica y Gerontológica: casos clínicos y planes de cuidado,1,4,1,5,1339.67,18.42,51,46,48,0.0000,-0.0207
132,Valoración integral en Enfermería Geriátrica y Gerontológica,0,0,0,0,0.00,0.00,38,43,52,0.0000,0.1053
133,Procedimientos esenciales de Enfermería Geriátrica y Gerontológica,3,0,1,4,3936.75,38.54,30,36,43,-0.5000,0.1193
134,Guía práctica de Enfermería Geriátrica y Gerontológica,3,6,2,9,6509.73,54.36,44,53,41,-0.0909,-0.0217
135,Enfermería Geriátrica y Gerontológica basada en evidencia,2,3,3,7,7092.00,54.77,33,42,35,0.1250,0.0182
136,Razonamiento clínico aplicado a Enfermería Geriátrica y Gerontológica,0,0,0,0,0.00,0.00,43,60,41,0.0000,-0.0139
137,Protocolos de atención en Enfermería Geriátrica y Gerontológica,0,2,1,3,3359.00,49.87,28,39,40,0.3333,0.1121
138,Seguridad del paciente en Enfermería Geriátrica y Gerontológica,1,4,2,7,5156.43,64.97,54,45,68,0.1429,0.0838
139,Intervenciones de enfermería en Enfermería Geriátrica y Gerontológica,3,7,1,10,4065.18,48.12,23,54,34,-0.1818,0.0991
140,Evaluación y seguimiento en Enfermería Geriátrica y Gerontológica,0,0,0,0,0.00,0.00,51,48,47,0.0000,-0.0274
141,Fundamentos de Salud Mental y Enfermería Psiquiátrica,2,3,1,6,5422.00,49.22,29,46,35,-0.1667,0.0545
142,Salud Mental y Enfermería Psiquiátrica: manual para estudiantes de enfermería,1,2,0,3,3661.00,40.61,47,57,26,-0.3333,-0.1615
143,Salud Mental y Enfermería Psiquiátrica: casos clínicos y planes de cuidado,1,2,1,4,5250.75,46.39,43,31,32,0.0000,-0.1038
144,Valoración integral en Salud Mental y Enfermería Psiquiátrica,0,0,0,0,0.00,0.00,37,48,41,0.0000,0.0317
145,Procedimientos esenciales de Salud Mental y Enfermería Psiquiátrica,1,0,2,3,4172.67,52.05,39,39,40,0.3333,0.0085
146,Guía práctica de Salud Mental y Enfermería Psiquiátrica,4,2,0,6,3237.83,54.01,29,51,37,-0.6667,0.0684
147,Salud Mental y Enfermería Psiquiátrica basada en evidencia,0,7,2,7,4390.33,56.11,50,58,42,0.2222,-0.0533
148,Razonamiento clínico aplicado a Salud Mental y Enfermería Psiquiátrica,0,0,0,0,0.00,0.00,41,43,50,0.0000,0.0672
149,Protocolos de atención en Salud Mental y Enfermería Psiquiátrica,0,3,2,4,4861.00,50.41,40,46,43,0.4000,0.0233
150,Seguridad del paciente en Salud Mental y Enfermería Psiquiátrica,1,3,0,4,7024.25,44.56,42,43,37,-0.2500,-0.0410
151,Intervenciones de enfermería en Salud Mental y Enfermería Psiquiátrica,0,1,2,3,6923.33,48.91,46,44,43,0.6667,-0.0226
152,Evaluación y seguimiento en Salud Mental y Enfermería Psiquiátrica,0,0,0,0,0.00,0.00,49,44,43,0.0000,-0.0441
153,Fundamentos de Urgencias y Cuidados Intensivos,1,2,2,4,4770.40,52.67,52,63,48,0.2000,-0.0245
154,Urgencias y Cuidados Intensivos: manual para estudiantes de enfermería,3,0,1,3,1328.75,13.64,32,45,34,-0.5000,0.0180
155,Urgencias y Cuidados Intensivos: casos clínicos y planes de cuidado,2,2,2,6,5991.50,56.60,43,49,51,0.0000,0.0559
156,Valoración integral en Urgencias y Cuidados Intensivos,0,0,0,0,0.00,0.00,43,32,42,0.0000,-0.0085
157,Procedimientos esenciales de Urgencias y Cuidados Intensivos,3,0,0,3,9565.67,68.50,39,40,51,-1.0000,0.0923
158,Guía práctica de Urgencias y Cuidados Intensivos,2,3,2,7,11284.14,55.74,35,52,32,0.0000,-0.0252
159,Urgencias y Cuidados Intensivos basada en evidencia,1,3,1,4,4643.00,33.68,40,57,49,0.0000,0.0616
160,Razonamiento clínico aplicado a Urgencias y Cuidados Intensivos,0,0,0,0,0.00,0.00,43,71,49,0.0000,0.0368
161,Protocolos de atención en Urgencias y Cuidados Intensivos,2,4,2,6,3418.25,38.71,36,50,33,0.0000,-0.0252
162,Seguridad del paciente en Urgencias y Cuidados Intensivos,3,2,3,8,3988.88,46.19,48,52,43,0.0000,-0.0350
163,Intervenciones de enfermería en Urgencias y Cuidados Intensivos,1,3,0,4,5624.25,54.60,50,39,38,-0.2500,-0.0945
164,Evaluación y seguimiento en Urgencias y Cuidados Intensivos,0,0,0,0,0.00,0.00,44,61,42,0.0000,-0.0136
165,Fundamentos de Investigación y Práctica Basada en Evidencia,1,1,1,3,6259.33,43.93,24,39,38,0.0000,0.1386
166,Investigación y Práctica Basada en Evidencia: manual para estudiantes de enfermería,4,4,1,7,7530.78,55.52,44,54,34,-0.3333,-0.0758
167,Investigación y Práctica Basada en Evidencia: casos clínicos y planes de cuidado,2,2,1,5,10188.60,63.07,26,52,37,-0.2000,0.0957
168,Valoración integral en Investigación y Práctica Basada en Evidencia,0,0,0,0,0.00,0.00,40,57,61,0.0000,0.1329
169,Procedimientos esenciales de Investigación y Práctica Basada en Evidencia,4,2,0,5,4146.67,50.44,44,59,49,-0.6667,0.0329
170,Guía práctica de Investigación y Práctica Basada en Evidencia,1,1,1,2,6278.33,76.75,49,30,36,0.0000,-0.1130
171,Investigación y Práctica Basada en Evidencia basada en evidencia,1,3,2,6,6643.33,59.18,27,49,36,0.1667,0.0804
172,Razonamiento clínico aplicado a Investigación y Práctica Basada en Evidencia,0,0,0,0,0.00,0.00,51,46,42,0.0000,-0.0647
173,Protocolos de atención en Investigación y Práctica Basada en Evidencia,2,1,2,4,9209.80,51.74,38,53,42,0.0000,0.0301
174,Seguridad del paciente en Investigación y Práctica Basada en Evidencia,2,2,0,4,8680.75,67.82,47,40,58,-0.5000,0.0759
175,Intervenciones de enfermería en Investigación y Práctica Basada en Evidencia,2,3,2,6,1750.57,41.13,55,45,50,0.0000,-0.0333
176,Evaluación y seguimiento en Investigación y Práctica Basada en Evidencia,0,0,0,0,0.00,0.00,41,50,44,0.0000,0.0222
177,Fundamentos de Gestión y Seguridad del Cuidado de Enfermería,1,4,3,7,5265.38,64.50,35,31,30,0.2500,-0.0521
178,Gestión y Seguridad del Cuidado de Enfermería: manual para estudiantes de enfermería,2,3,0,5,7001.40,55.64,47,46,44,-0.4000,-0.0219
179,Gestión y Seguridad del Cuidado de Enfermería: casos clínicos y planes de cuidado,3,3,1,6,6917.29,59.85,38,60,48,-0.2857,0.0685
180,Valoración integral en Gestión y Seguridad del Cuidado de Enfermería,0,0,0,0,0.00,0.00,32,51,36,0.0000,0.0336
181,Procedimientos esenciales de Gestión y Seguridad del Cuidado de Enfermería,0,3,5,7,5292.50,49.96,39,49,60,0.6250,0.1419
182,Guía práctica de Gestión y Seguridad del Cuidado de Enfermería,3,3,5,9,9510.18,56.10,50,57,39,0.1818,-0.0753
183,Gestión y Seguridad del Cuidado de Enfermería basada en evidencia,3,3,0,6,3686.50,59.18,49,53,30,-0.5000,-0.1439
184,Razonamiento clínico aplicado a Gestión y Seguridad del Cuidado de Enfermería,0,0,0,0,0.00,0.00,45,44,57,0.0000,0.0822
185,Protocolos de atención en Gestión y Seguridad del Cuidado de Enfermería,0,5,2,7,4879.14,52.49,44,34,54,0.2857,0.0758
186,Seguridad del paciente en Gestión y Seguridad del Cuidado de Enfermería,1,1,2,4,4621.75,52.81,45,38,31,0.2500,-0.1228
187,Intervenciones de enfermería en Gestión y Seguridad del Cuidado de Enfermería,4,2,2,8,7611.75,61.74,30,34,50,-0.2500,0.1754
188,Evaluación y seguimiento en Gestión y Seguridad del Cuidado de Enfermería,0,0,0,0,0.00,0.00,47,62,41,0.0000,-0.0400
